Country,FechasF,AD,Years,Months,Days
 Libya,1951-12-24,2022-06-02,70,845,25728
 Liechtenstein,1886-08-15,2022-06-02,135,1629,49599
 Lithuania,1918-02-16,2022-06-02,104,1251,38092
 Lithuania,1990-03-11,2022-06-02,32,386,11771
 Luxembourg,,2022-06-02,,,
 Madagascar,1960-06-26,2022-06-02,61,743,22621
 Malawi,1964-07-06,2022-06-02,57,694,21150
 Malaysia,1957-08-31,2022-06-02,64,777,23651
 Maldives,1965-07-26,2022-06-02,56,682,20765
 Mali,1960-09-22,2022-06-02,61,740,22533
 Malta,1964-09-21,2022-06-02,57,692,21073
 Marshall Islands,1979-05-01,2022-06-02,43,517,15738
 Mauritania,1960-11-28,2022-06-02,61,738,22466
 Mauritius,1968-03-12,2022-06-02,54,650,19805
 Mexico,1810-09-16,2022-06-02,211,2540,77326
 Micronesia,1986-11-03,2022-06-02,35,426,12995
 Moldova,1991-08-27,2022-06-02,30,369,11237
 Monaco,,2022-06-02,,,
 Mongolia,1911-12-29,2022-06-02,110,1325,40333
 Montenegro,2006-05-21,2022-06-02,16,192,5856
 Morocco,1944-01-11,2022-06-02,78,940,28632
 Morocco,1955-11-18,2022-06-02,66,798,24303
 Mozambique,1975-06-25,2022-06-02,46,563,17144
 Myanmar,1948-01-04,2022-06-02,74,892,27178
 Namibia,1990-03-21,2022-06-02,32,386,11761
 Nauru,1968-01-31,2022-06-02,54,652,19846
   Nepal,,2022-06-02,,,
 Netherlands,1581-07-26,2022-06-02,440,5290,161018
 New Zealand,,2022-06-02,,,
 Nicaragua,1821-09-15,2022-06-02,200,2408,73309
 Niger,1960-08-03,2022-06-02,61,741,22583
 Nigeria,1960-10-01,2022-06-02,61,740,22524
 North Macedonia,1991-09-08,2022-06-02,30,368,11225
 Norway,1814-05-17,2022-06-02,208,2496,75987
 Norway,1905-06-07,2022-06-02,116,1403,42729
 Oman,1650-11-18,2022-06-02,371,4458,135701
 Pakistan,1947-08-14,2022-06-02,74,897,27321
 Palau,,2022-06-02,,,
 Palestine,1988-11-15,2022-06-02,33,402,12252
 Panama,1903-11-03,2022-06-02,118,1422,43311
 Papua New Guinea,1975-09-16,2022-06-02,46,560,17061
 Paraguay,,2022-06-02,,,
 Peru,1821-07-28,2022-06-02,200,2410,73358
 Philippines,1898-06-12,2022-06-02,123,1487,45280
 Philippines,1946-07-04,2022-06-02,75,910,27727
 Poland,1918-11-11,2022-06-02,103,1242,37824
 Portugal,1640-12-01,2022-06-02,381,4578,139340
 Qatar,1878-12-18,2022-06-02,143,1721,52396
 Qatar,1971-12-18,2022-06-02,50,605,18429
 Queensland,1859-12-10,2022-06-02,162,1949,59344
 Romania,1877-05-09,2022-06-02,145,1740,52984
 Russia,1992-06-12,2022-06-02,29,359,10947
 Rwanda,1962-07-01,2022-06-02,59,719,21886
 Saint Kitts and Nevis,1983-09-19,2022-06-02,38,464,14136
 Saint Lucia,1979-02-22,2022-06-02,43,519,15806
 Saint Vincent and the Grenadines,1979-10-27,2022-06-02,42,511,15559
 Samoa,1962-06-01,2022-06-02,60,720,21916
 São Tomé and Príncipe,1975-07-12,2022-06-02,46,562,17127
 Saudi Arabia,1932-09-23,2022-06-02,89,1076,32759
 Senegal,1960-04-04,2022-06-02,62,745,22704
 Seychelles,1976-06-29,2022-06-02,45,551,16774
 Sierra Leone,1961-04-27,2022-06-02,61,733,22316
 Singapore,1965-08-09,2022-06-02,56,681,20751
 Slovakia,1992-07-17,2022-06-02,29,358,10912
 Slovenia,,2022-06-02,,,
 Solomon Islands,1978-07-07,2022-06-02,43,526,16036
 Somalia,1960-07-01,2022-06-02,61,743,22616
 Somaliland,1991-05-18,2022-06-02,31,372,11338
 South Africa,1931-12-11,2022-06-02,90,1085,33046
 South Sudan,2011-07-09,2022-06-02,10,130,3981
 Spain,1492-10-12,2022-06-02,529,6355,193446
 Sri Lanka,1948-02-04,2022-06-02,74,891,27147
 Sudan,1956-01-01,2022-06-02,66,797,24259
 Suriname,1975-11-25,2022-06-02,46,558,16991
 Sweden,1905-06-06,2022-06-02,116,1403,42730
  Switzerland,1291-08-01,2022-06-02,730,8770,266932
 Syria,1946-04-17,2022-06-02,76,913,27805
 Tajikistan,1991-09-09,2022-06-02,30,368,11224
 Tanzania,1961-12-09,2022-06-02,60,725,22090
 Thailand,,2022-06-02,,,
 Togo,1960-04-27,2022-06-02,62,745,22681
 Tonga,1970-06-04,2022-06-02,51,623,18991
 Trinidad and Tobago,1962-08-31,2022-06-02,59,717,21825
 Tunisia,1956-03-20,2022-06-02,66,794,24180
 Turkey,,2022-06-02,,,
 Turkey,1923-10-29,2022-06-02,98,1183,36011
 Turkmenistan,1991-09-27,2022-06-02,30,368,11206
 Tuvalu,1978-10-01,2022-06-02,43,524,15950
 Uganda,1962-10-09,2022-06-02,59,715,21786
 Ukraine,1991-08-24,2022-06-02,30,369,11240
 Ukraine,1919-01-22,2022-06-02,103,1240,37752
 United Arab Emirates,1971-12-02,2022-06-02,50,606,18445
 United States,1776-07-04,2022-06-02,245,2950,89817
 Uruguay,1825-08-25,2022-06-02,196,2361,71869
 Uzbekistan,1991-09-01,2022-06-02,30,369,11232
 Vanuatu,1980-07-30,2022-06-02,41,502,15282
  Vatican City,1929-02-11,2022-06-02,93,1119,34079
 Venezuela,1811-07-05,2022-06-02,210,2530,77034
 Vietnam,1945-09-02,2022-06-02,76,921,28032
 Yemen,1967-11-30,2022-06-02,54,654,19908
 Zambia,1964-10-24,2022-06-02,57,691,21040
 Zimbabwe,1980-04-18,2022-06-02,42,505,15385
